CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
384,Ivory Coast,997,933,939,840,605,782,828,775,811,783,649,664,717,870,921,931,949,1061,1236,1210,1212,1221,1243,1416,1559,1426,1483,1561,1716
191,Croatia,3482,2851,2589,2765,3730,4856,5183,5263,5670,5251,4894,5258,6100,7903,9488,10367,11540,13793,16142,14420,13818,14457,13151,13576,13546,11701,12260,13225,14674
192,Cuba,2703,2278,2057,2073,2625,2795,2287,2308,2331,2559,2747,2838,2999,3197,3396,3787,4684,5209,5411,5530,5730,6186,6497,6838,7133,7700,8061,8541,8822
531,Curaçao,11285,11793,12335,13142,14157,14690,15523,16215,16622,16736,17343,17764,18102,18684,19151,18018,18504,18989,20095,19737,19782,19950,20224,20075,19937,19718,19387,19239,19219
196,Cyprus,10802,10859,12679,11801,13013,15265,15154,14225,15083,15283,14364,14816,16042,20240,23773,25311,27172,31353,35399,32107,30993,32353,28912,27720,27092,23323,24514,26484,28968
203,Czech Republic,3914,2868,3352,3921,4590,5771,6472,5977,6441,6294,5991,6574,7990,9730,11638,13285,15096,18270,22610,19658,19691,21573,19598,19780,19622,17623,18372,20291,22992
408,North Korea,735,663,593,503,384,222,479,462,456,452,462,476,468,471,473,548,575,597,551,495,571,639,645,668,698,650,667,686,688
180,Congo,428,395,348,437,229,215,214,215,220,191,177,172,175,174,194,218,255,286,328,299,334,387,425,458,487,497,512,462,561
208,Denmark,26891,27008,29568,27587,29966,35356,35707,32881,33392,33441,30734,30756,33248,40486,46527,48779,51960,58396,64274,58129,57967,61616,58306,60939,62320,53206,54823,57467,61834
262,Djibouti,774,768,783,780,821,808,771,743,731,750,761,777,790,820,860,905,967,1053,1196,1321,1480,1703,1964,2313,2466,2676,2818,2931,3049
212,Dominica,2815,2987,3221,3353,3594,3653,3947,4113,4381,4543,4614,4710,4634,4811,5325,5247,5625,6056,6623,7042,6967,7070,6839,7171,7362,7598,8070,7275,7691
214,Dominican Republic,1335,1357,1545,1721,1835,2014,2148,2431,2541,2620,2828,2932,2940,2304,2477,3903,4115,4688,5039,5020,5483,5891,6108,6236,6499,6692,6958,7230,7650
218,Ecuador,1489,1621,1688,1727,2025,2132,2154,2355,2293,1578,1445,1895,2172,2426,2691,3002,3329,3568,4249,4232,4634,5201,5682,6056,6377,6124,6060,6214,6345
818,Egypt,641,683,780,845,925,1055,1163,1257,1316,1361,1390,1293,1210,1017,1068,1251,1402,1689,2070,2317,2593,2734,3200,3063,3328,3437,2861,2023,2538
222,El Salvador,914,983,1073,1217,1381,1585,1685,1779,1886,1931,2002,2072,2124,2209,2278,2429,2632,2786,2933,2858,2983,3266,3428,3510,3589,3706,3800,3902,4058
226,Equatorial Guinea,405,396,453,432,345,433,659,1218,981,1576,2492,3495,4126,5385,7840,11367,12857,15908,22943,16668,17272,21614,21712,20385,19368,11275,9268,9919,10179
232,Eritrea,147,169,194,226,284,290,341,356,367,355,308,317,294,335,408,389,415,440,451,595,668,811,942,1071,1197,1329,1485,1737,1985
233,Estonia,3611,3472,2850,2811,2873,3120,3370,3652,4026,4110,4073,4498,5332,7195,8906,10398,12614,16693,18165,14784,14786,17620,17528,19159,20340,17523,18227,20357,23242
748,Eswatini,1525,1574,1701,1681,1752,2052,1897,2000,1811,1741,1729,1522,1405,2149,2699,3084,3177,3327,3137,3386,4168,4497,4528,4230,4039,3690,3448,3953,4146
231,Ethiopia,234,258,199,139,130,133,140,140,124,114,121,117,110,117,134,159,191,235,309,331,300,338,455,488,552,626,696,722,735
242,Fiji,1838,1885,2062,2172,2388,2571,2695,2679,2100,2442,2106,2067,2290,2873,3377,3628,3716,4040,4168,3363,3653,4372,4592,4840,5606,5391,5651,6101,6267
246,Finland,28310,25456,22306,17590,20266,26213,25722,24634,25955,26124,24230,24886,26805,32765,37604,38944,41098,48330,53495,47261,46439,51065,47704,49878,50261,42799,43758,46280,50136
250,France,21793,21692,23844,22413,23521,26904,26875,24219,24951,24657,22378,22466,24215,29597,33772,34807,36510,41592,45427,41643,40685,43812,40871,42587,43005,36612,36980,38684,41358
258,French Polynesia,17849,18083,19261,18021,18321,20271,19163,17956,18326,17782,15610,15078,15790,19480,21692,22037,22500,25207,26918,24724,22821,23145,21164,22307,22612,19492,19766,20594,21968
