WPS Index rank,Country and group,WPS Index value,GDP per capita (PPP$; rank minus WPS rank),"Education (women's mean years of schooling, ages 25+)","Financial inclusion (women ages 15+, %)","Employment (women ages 25+, %)","Cellphone use (women ages 15+, %)","Parliamentary representationa (seats held by women, %)",Legal discrimination (aggregate score),Son bias                  (male to female ratio at birth),"Discriminatory work norms (males 15+ who agree it is unacceptable for women to work, %)"," Intimate partner violence (experienced by women in the past year, %)","Community safety (perception among women ages 15+, %)","Organized violence (battle deaths per 100,000 people)",,,,
130,Angola,0.626,-16,3.1,22.3,82.1,44.7,30.0,18,1.03,16,25.9,39.8,0.09,,,,
130,Equatorial Guinea,0.626,-78,4.0,34.7,62.2,66.3,18.0,27,1.03,16,43.6,48.0,0.00,,,,
130,Malawi,0.626,27,4.0,29.8,74.4,48.8,16.7,22,1.03,25,24.3,44.3,0.00,,,,
133,Morocco,0.625,-30,4.5,16.8,21.7,84.6,18.4,26,1.06,31,6.4,56.3,0.00,,,,
133,India,0.625,-25,4.8,76.6,26.5,74.9,12.2,23,1.11,25,22.0,64.0,0.06,,,,
133,Guinea,0.625,9,1.5,19.7,69.4,72.4,22.8,30,1.02,11,21.1,44.6,0.01,,,,
136,Burkina Faso,0.622,15,1.0,34.5,60.9,76.5,13.4,25,1.05,20,9.3,55.7,0.38,,,,
136,Madagascar,0.622,18,6.7,16.3,87.9,44.7,19.6,27,1.03,16,35.0,35.7,0.00,,,,
138,Côte d'Ivoire,0.617,-10,3.7,35.6,56.4,85.6,11.2,20,1.03,15,22.0,31.4,0.07,,,,
139,Burundi,0.616,23,1.5,6.7,91.3,33.5,36.4,21,1.03,16,27.9,62.6,0.46,,,,
140,Haiti,0.613,12,4.3,30.0,66.0,73.6,2.7,32,1.05,22,13.9,45.9,0.07,,,,
140,Eswatini,0.613,-41,6.1,27.4,39.1,82.5,12.1,36,1.03,16,21.1,33.6,0.00,,,,
142,Bangladesh,0.612,-13,5.4,35.8,37.8,73.1,20.6,34,1.05,57,26.9,69.9,0.03,,,,
143,Algeria,0.611,-66,7.6,29.3,13.6,78.4,21.5,29,1.05,45,9.4,51.9,0.16,,,,
