regions,gender,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Turkey,M,13.87,14.37,14.89,15.42,15.97,16.53,17.11,17.7,18.31,18.93,19.57,20.22,20.88,21.55,22.24,22.93,23.65,24.37
Tuvalu,F,45.15,45.82,46.49,47.16,47.83,48.5,49.16,49.83,50.5,51.18,51.85,52.51,53.16,53.79,54.42,55.03,55.63,56.21
Tuvalu,M,32.07,32.88,33.71,34.55,35.4,36.25,37.12,38.01,38.91,39.82,40.74,41.66,42.58,43.49,44.39,45.29,46.17,47.04
United Republic of Tanzania,F,5.59,5.88,6.17,6.49,6.82,7.16,7.53,7.9,8.3,8.72,9.15,9.6,10.07,10.55,11.05,11.57,12.11,12.66
United Republic of Tanzania,M,1.46,1.55,1.64,1.74,1.84,1.95,2.07,2.2,2.33,2.47,2.62,2.78,2.95,3.13,3.32,3.53,3.75,3.98
Uganda,F,3.76,3.95,4.15,4.36,4.58,4.81,5.05,5.3,5.57,5.85,6.14,6.45,6.78,7.11,7.47,7.83,8.21,8.61
Uganda,M,0.71,0.75,0.79,0.84,0.88,0.93,0.98,1.04,1.09,1.16,1.22,1.29,1.37,1.45,1.54,1.63,1.73,1.84
Ukraine,F,22.34,22.49,22.65,22.81,22.99,23.17,23.36,23.55,23.75,23.95,24.16,24.36,24.57,24.79,25.01,25.23,25.46,25.69
Ukraine,M,14.43,14.8,15.17,15.56,15.96,16.37,16.79,17.22,17.66,18.1,18.56,19.02,19.49,19.97,20.46,20.96,21.46,21.98
Uruguay,F,23.31,23.72,24.14,24.56,24.98,25.4,25.82,26.24,26.67,27.1,27.53,27.96,28.39,28.83,29.26,29.7,30.15,30.59
Uruguay,M,16.49,16.94,17.4,17.86,18.33,18.8,19.28,19.76,20.25,20.74,21.24,21.75,22.26,22.77,23.3,23.83,24.37,24.92
United States of America,F,26.2,26.9,27.6,28.28,28.94,29.6,30.24,30.87,31.5,32.11,32.72,33.33,33.94,34.54,35.15,35.75,36.35,36.96
United States of America,M,23.26,24.02,24.78,25.52,26.26,26.98,27.7,28.41,29.12,29.82,30.52,31.22,31.92,32.62,33.32,34.03,34.74,35.46
Uzbekistan,F,11.32,11.63,11.97,12.32,12.68,13.07,13.47,13.88,14.31,14.77,15.23,15.72,16.22,16.74,17.29,17.85,18.42,19.02
Uzbekistan,M,7.37,7.62,7.89,8.17,8.47,8.78,9.1,9.44,9.8,10.17,10.55,10.96,11.38,11.82,12.29,12.77,13.28,13.81
Saint Vincent and the Grenadines,F,20.2,20.8,21.41,22.02,22.63,23.25,23.88,24.51,25.14,25.78,26.42,27.07,27.72,28.38,29.04,29.7,30.37,31.03
Saint Vincent and the Grenadines,M,8.03,8.42,8.82,9.23,9.65,10.09,10.54,11.01,11.49,11.98,12.49,13.02,13.56,14.12,14.7,15.3,15.92,16.56
Venezuela,F,22.69,23.07,23.45,23.82,24.17,24.53,24.87,25.22,25.55,25.89,26.22,26.56,26.89,27.23,27.58,27.93,28.28,28.64
Venezuela,M,15.24,15.69,16.13,16.56,16.99,17.41,17.84,18.25,18.66,19.06,19.47,19.87,20.28,20.7,21.12,21.54,21.98,22.42
Vietnam,F,0.83,0.88,0.94,1.01,1.08,1.16,1.24,1.33,1.42,1.52,1.63,1.74,1.86,1.99,2.12,2.27,2.42,2.58
Vietnam,M,0.34,0.37,0.4,0.44,0.48,0.53,0.58,0.64,0.7,0.77,0.84,0.92,1.01,1.11,1.22,1.33,1.46,1.59
Vanuatu,F,19.67,20.25,20.84,21.43,22.02,22.62,23.22,23.82,24.43,25.04,25.66,26.28,26.9,27.52,28.15,28.78,29.42,30.06
Vanuatu,M,10.9,11.34,11.79,12.25,12.73,13.21,13.71,14.23,14.76,15.3,15.85,16.43,17.01,17.62,18.24,18.88,19.53,20.21
Samoa,F,44.75,45.46,46.14,46.81,47.46,48.1,48.72,49.33,49.93,50.52,51.1,51.67,52.24,52.8,53.36,53.91,54.46,55
Samoa,M,27.56,28.32,29.06,29.8,30.53,31.25,31.98,32.69,33.41,34.12,34.83,35.55,36.27,36.99,37.72,38.46,39.19,39.94
Yemen,F,12.02,12.5,12.99,13.49,14,14.52,15.06,15.61,16.18,16.77,17.37,18,18.63,19.28,19.95,20.63,21.31,22.01
Yemen,M,4.87,5.15,5.43,5.74,6.05,6.38,6.73,7.09,7.48,7.89,8.32,8.77,9.24,9.74,10.25,10.8,11.37,11.96
South Africa,F,29.62,30.22,30.82,31.42,32.02,32.62,33.22,33.82,34.42,35.02,35.6,36.19,36.77,37.34,37.9,38.47,39.02,39.57
South Africa,M,7.23,7.58,7.96,8.34,8.74,9.16,9.6,10.04,10.51,10.99,11.48,11.99,12.51,13.04,13.59,14.16,14.75,15.35
Zambia,F,6.54,6.72,6.93,7.17,7.43,7.71,8.01,8.34,8.68,9.05,9.42,9.82,10.22,10.64,11.06,11.51,11.96,12.43
Zambia,M,1.58,1.63,1.69,1.75,1.83,1.91,2,2.1,2.21,2.33,2.45,2.59,2.73,2.88,3.03,3.2,3.38,3.56
Zimbabwe,F,17.51,18.02,18.51,18.99,19.47,19.94,20.4,20.85,21.3,21.74,22.17,22.6,23.03,23.47,23.91,24.35,24.8,25.26
Zimbabwe,M,2.26,2.39,2.52,2.65,2.78,2.92,3.05,3.19,3.33,3.46,3.6,3.74,3.89,4.04,4.2,4.36,4.53,4.72
