regions,gender,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belarus,M,13.88,14.31,14.75,15.2,15.66,16.13,16.6,17.09,17.58,18.07,18.56,19.05,19.55,20.05,20.56,21.07,21.59,22.11
Belize,F,22.46,23,23.52,24.04,24.56,25.07,25.57,26.08,26.59,27.1,27.61,28.13,28.67,29.21,29.76,30.33,30.9,31.49
Belize,M,9.34,9.71,10.08,10.45,10.83,11.21,11.59,11.97,12.36,12.76,13.18,13.6,14.03,14.49,14.96,15.45,15.96,16.49
Bolivia (Plurinational State of),F,17.3,17.76,18.23,18.69,19.15,19.62,20.1,20.57,21.05,21.54,22.02,22.52,23.01,23.51,24.02,24.53,25.04,25.56
Bolivia (Plurinational State of),M,7.89,8.22,8.55,8.89,9.23,9.58,9.94,10.31,10.68,11.07,11.46,11.87,12.28,12.71,13.14,13.59,14.05,14.52
Brazil,F,17.25,17.75,18.24,18.72,19.19,19.66,20.13,20.59,21.06,21.53,22,22.47,22.95,23.43,23.91,24.41,24.9,25.4
Brazil,M,10.54,10.99,11.44,11.88,12.33,12.77,13.22,13.67,14.12,14.58,15.04,15.51,15.99,16.47,16.96,17.47,17.99,18.51
Barbados,F,21.13,21.72,22.31,22.9,23.48,24.05,24.63,25.21,25.79,26.37,26.96,27.56,28.17,28.78,29.41,30.04,30.68,31.34
Barbados,M,7.72,8.07,8.41,8.77,9.12,9.49,9.85,10.23,10.61,11.01,11.41,11.83,12.27,12.72,13.18,13.67,14.17,14.7
Brunei Darussalam,F,8.8,9.13,9.48,9.83,10.19,10.56,10.95,11.34,11.74,12.15,12.57,12.99,13.43,13.87,14.33,14.79,15.26,15.75
Brunei Darussalam,M,4.99,5.3,5.62,5.95,6.31,6.68,7.07,7.47,7.89,8.33,8.79,9.27,9.76,10.27,10.8,11.35,11.92,12.51
Bhutan,F,3.33,3.55,3.79,4.04,4.31,4.58,4.87,5.17,5.47,5.78,6.09,6.41,6.74,7.08,7.42,7.77,8.13,8.5
Bhutan,M,1.38,1.5,1.63,1.77,1.92,2.08,2.25,2.43,2.62,2.81,3.02,3.23,3.45,3.68,3.92,4.17,4.44,4.71
Botswana,F,20.63,21.28,21.89,22.47,23.03,23.57,24.09,24.6,25.09,25.58,26.05,26.52,26.99,27.45,27.92,28.39,28.86,29.33
Botswana,M,3.66,3.91,4.15,4.39,4.63,4.87,5.11,5.36,5.6,5.85,6.11,6.37,6.63,6.91,7.2,7.5,7.82,8.15
Central African Republic,F,5.68,5.91,6.14,6.38,6.64,6.9,7.17,7.45,7.74,8.04,8.36,8.68,9.02,9.37,9.74,10.12,10.51,10.92
Central African Republic,M,1.59,1.67,1.75,1.84,1.93,2.03,2.13,2.24,2.35,2.47,2.59,2.72,2.86,3.01,3.16,3.33,3.51,3.7
Canada,F,20.38,20.94,21.49,22.03,22.56,23.09,23.61,24.13,24.64,25.15,25.66,26.18,26.69,27.21,27.73,28.26,28.79,29.33
Canada,M,19.28,19.9,20.51,21.12,21.72,22.32,22.91,23.49,24.08,24.66,25.24,25.83,26.42,27.01,27.61,28.22,28.83,29.46
Switzerland,F,12.61,12.85,13.09,13.33,13.57,13.81,14.06,14.3,14.54,14.79,15.04,15.29,15.54,15.79,16.05,16.31,16.58,16.86
Switzerland,M,14.42,14.83,15.24,15.65,16.07,16.5,16.94,17.38,17.82,18.28,18.74,19.2,19.67,20.16,20.65,21.15,21.67,22.19
Chile,F,23.35,23.78,24.22,24.66,25.1,25.54,25.98,26.43,26.87,27.32,27.77,28.22,28.67,29.12,29.58,30.03,30.49,30.95
Chile,M,16.67,17.13,17.58,18.04,18.5,18.97,19.43,19.91,20.38,20.86,21.35,21.83,22.33,22.82,23.32,23.83,24.35,24.87
China,F,2.8,2.95,3.11,3.28,3.46,3.64,3.84,4.05,4.26,4.49,4.72,4.96,5.2,5.45,5.71,5.97,6.25,6.52
China,M,1.64,1.77,1.92,2.08,2.25,2.44,2.64,2.85,3.08,3.33,3.59,3.86,4.15,4.46,4.78,5.13,5.49,5.87
Côte d’Ivoire,F,7.77,8.11,8.45,8.82,9.2,9.59,10,10.42,10.85,11.29,11.74,12.21,12.68,13.16,13.65,14.15,14.66,15.18
Côte d’Ivoire,M,2.25,2.37,2.51,2.66,2.81,2.98,3.15,3.34,3.53,3.74,3.95,4.18,4.42,4.67,4.93,5.21,5.51,5.81
Cameroon,F,8.5,8.88,9.28,9.7,10.12,10.56,11.01,11.46,11.93,12.4,12.88,13.37,13.86,14.36,14.87,15.39,15.91,16.45
Cameroon,M,2.45,2.6,2.76,2.92,3.1,3.27,3.46,3.66,3.86,4.07,4.29,4.51,4.75,5,5.26,5.53,5.81,6.11
Democratic Republic of the Congo,F,4.41,4.63,4.87,5.11,5.36,5.63,5.9,6.19,6.48,6.79,7.11,7.44,7.78,8.13,8.5,8.87,9.26,9.67
Democratic Republic of the Congo,M,1.29,1.37,1.46,1.55,1.65,1.75,1.86,1.97,2.1,2.22,2.36,2.5,2.66,2.82,2.99,3.17,3.37,3.57
Congo,F,7.53,7.82,8.11,8.42,8.73,9.05,9.38,9.72,10.06,10.41,10.77,11.13,11.51,11.89,12.28,12.68,13.08,13.5
