Year,Overall rank,Country or region,Happiness Score,GDP per capita
2017,95,Nigeria,5.073999882,0.783756256
2017,96,Tajikistan,5.040999889,0.524713635
2017,97,Bhutan,5.011000156,0.885416389
2017,98,Kyrgyzstan,5.004000187,0.596220076
2017,99,Nepal,4.961999893,0.479820192
2017,100,Mongolia,4.954999924,1.027235866
2017,101,South Africa,4.828999996,1.054698706
2017,102,Tunisia,4.804999828,1.007265806
2017,103,Palestinian Territories,4.775000095,0.716249228
2017,104,Egypt,4.735000134,0.989701807
2017,105,Bulgaria,4.714000225,1.161459088
2017,106,Sierra Leone,4.709000111,0.368420929
2017,107,Cameroon,4.695000172,0.564305365
2017,108,Iran,4.691999912,1.156873107
2017,109,Albania,4.644000053,0.996192753
2017,110,Bangladesh,4.607999802,0.586682975
2017,111,Namibia,4.573999882,0.964434326
2017,112,Kenya,4.552999973,0.560479462
2017,113,Mozambique,4.550000191,0.23430565
2017,114,Myanmar,4.545000076,0.36711055
2017,115,Senegal,4.534999847,0.479309022
2017,116,Zambia,4.513999939,0.636406779
2017,117,Iraq,4.497000217,1.102710485
2017,118,Gabon,4.465000153,1.198210239
2017,119,Ethiopia,4.460000038,0.339233845
2017,120,Sri Lanka,4.440000057,1.009850144
2017,121,Armenia,4.375999928,0.900596738
2017,122,India,4.315000057,0.792221248
2017,123,Mauritania,4.291999817,0.648457289
2017,124,Congo (Brazzaville),4.290999889,0.808964252
2017,125,Georgia,4.285999775,0.950612664
2017,126,Congo (Kinshasa),4.28000021,0.092102349
2017,127,Mali,4.190000057,0.476180494
2017,128,Ivory Coast,4.179999828,0.603048921
2017,129,Cambodia,4.168000221,0.601765096
2017,130,Sudan,4.138999939,0.659516692
2017,131,Ghana,4.119999886,0.667224824
2017,132,Ukraine,4.096000195,0.894651949
2017,133,Uganda,4.080999851,0.381430715
2017,134,Burkina Faso,4.032000065,0.350227714
2017,135,Niger,4.027999878,0.161925331
2017,136,Malawi,3.970000029,0.233442038
2017,137,Chad,3.936000109,0.438012987
2017,138,Zimbabwe,3.875,0.375846535
2017,139,Lesotho,3.808000088,0.521021247
2017,140,Angola,3.795000076,0.85842818
2017,141,Afghanistan,3.79399991,0.401477218
2017,142,Botswana,3.766000032,1.122094154
2017,143,Benin,3.657000065,0.431085408
2017,144,Madagascar,3.644000053,0.305808693
2017,145,Haiti,3.602999926,0.368610263
2017,146,Yemen,3.592999935,0.591683447
2017,147,South Sudan,3.59100008,0.397248626
2017,148,Liberia,3.532999992,0.119041793
2017,149,Guinea,3.506999969,0.24454993
2017,150,Togo,3.494999886,0.305444717
2017,151,Rwanda,3.470999956,0.368745893
2017,152,Syria,3.461999893,0.777153134
2017,153,Tanzania,3.348999977,0.511135876
2017,154,Burundi,2.904999971,0.091622569
2017,155,Central African Republic,2.693000078,0
2016,1,Denmark,7.526,1.44178
2016,2,Switzerland,7.509,1.52733
2016,3,Iceland,7.501,1.42666
2016,4,Norway,7.498,1.57744
2016,5,Finland,7.413,1.40598
2016,6,Canada,7.404,1.44015
2016,7,Netherlands,7.339,1.46468
2016,8,New Zealand,7.334,1.36066
2016,9,Australia,7.313,1.44443
2016,10,Sweden,7.291,1.45181
2016,11,Israel,7.267,1.33766
2016,12,Austria,7.119,1.45038
2016,13,United States of America,7.104,1.50796
2016,14,Costa Rica,7.087,1.06879
2016,15,Puerto Rico,7.039,1.35943
2016,16,Germany,6.994,1.44787
2016,17,Brazil,6.952,1.08754
